"Module","Test Case ID","Test Case","Priority","Severity","Preconditions","Steps","Expected Result","Coverage","Owner","Result","Evidence Link","Defect ID","Notes"
"Authentication & Session","AUTH-001","Login with valid credentials","P0","S1","User exists (any role)","Open Login; enter valid email/password; Sign in","User lands on dashboard; session created; username/role visible","Implemented","","Not Run","","",""
"Authentication & Session","AUTH-002","Login with invalid password","P0","S1","Valid user exists","Enter valid email + wrong password; Sign in","Clear error message; no session","Implemented","","Not Run","","",""
"Authentication & Session","AUTH-003","Account lockout / throttling after repeated failures","P0","S1","Lockout/throttling configured","Attempt wrong password N times","Lockout/throttling triggers; user informed; audit entry","Not Implemented","","Not Run","","","No lockout/rate-limit logic found"
"Authentication & Session","AUTH-004","Logout ends session","P0","S1","Logged in user","Login; Logout; back; refresh","No access to authenticated pages; redirect to login","Implemented","","Not Run","","",""
"Authentication & Session","AUTH-005","Session timeout","P1","S2","Session timeout configured","Login; idle past timeout; click navigation","Session expired message; redirect to login","Deployment-Dependent","","Not Run","","","Depends on Supabase/auth policy"
"Authentication & Session","AUTH-006","Password reset flow","P1","S2","Email delivery configured","Forgot password; request reset; open link; set new password; login","Token one-time/expiry behavior; login works with new password only","Implemented","","Not Run","","",""
"RBAC","RBAC-001","Admin can access user management","P0","S1","Admin user","Login as Admin; open Users/Roles","Users list visible; role management available","Implemented","","Not Run","","",""
"RBAC","RBAC-002","Operator cannot access admin-only pages","P0","S1","Operator user","Login as Operator; open admin URL directly","Access denied/redirected; no data leakage","Implemented","","Not Run","","",""
"RBAC","RBAC-003","Drone Team can access missions but not system settings","P0","S1","Drone Team user","Login; open Missions; open Settings/System config","Missions accessible; settings blocked","Implemented","","Not Run","","","Settings module not present; verify restricted routes"
"RBAC","RBAC-004","Object-level permission: farm/site data isolation","P0","S1","User assigned to Farm A only","Attempt access Farm B via URL/ID/search","Denied; no data exposure","Deployment-Dependent","","Not Run","","","Depends on backend auth + Supabase RLS policy"
"RBAC","RBAC-005","Privilege escalation check","P0","S1","Any non-admin user","Attempt to change own role via UI/API","Blocked; audit logged","Partial","","Not Run","","","UI restricts; backend protection inconsistent"
"Navigation & UI","UI-001","Global navigation works","P1","S3","Role-appropriate account","Visit Dashboard, Telemetry, Anomalies, Missions, Inspections, Maintenance, Users","No dead links; correct titles; active nav state","Partial","","Not Run","","","Some modules (Maintenance) not implemented"
"Navigation & UI","UI-002","Responsive layout (mobile/tablet/desktop)","P1","S3","N/A","Resize window across breakpoints","No overlap; key actions accessible","Partial","","Not Run","","","Sidebar layout appears desktop-first"
"Navigation & UI","UI-003","Accessibility quick checks","P2","S3","N/A","Keyboard tab flow; focus visibility; contrast; alt text checks","Keyboard usable; focus visible; no color-only critical info","Partial","","Not Run","","","Requires manual a11y pass"
"Telemetry","TEL-001","Live telemetry loads and refreshes","P0","S1","Telemetry feed available","Open Telemetry Dashboard; observe refresh","Configured refresh interval updates data/timestamps","Implemented","","Not Run","","",""
"Telemetry","TEL-002","Telemetry units and ranges","P1","S2","Sample telemetry available","Verify units and compare values to expected ranges","Units consistent; impossible values flagged","Partial","","Not Run","","","No strict server-side range validation"
"Telemetry","TEL-003","Handle missing telemetry (sensor offline)","P0","S1","Offline sensor/device","Open affected telemetry view","No-data/offline state shown; graceful graph behavior","Implemented","","Not Run","","",""
"Telemetry","TEL-004","Telemetry time zone correctness","P1","S2","N/A","Switch date/time filters; compare timestamps across pages","Consistent timezone; no day boundary errors","Partial","","Not Run","","","Mixed UTC/local formatting observed"
"Telemetry","TEL-005","Filtering by plant/inverter/string","P1","S2","Hierarchical asset model exists","Filter plant -> inverter -> string","Scope updates KPIs/graphs correctly","Not Implemented","","Not Run","","","Current model is mostly site/panel"
"Telemetry","TEL-006","Historical trend range selector","P1","S2","Historical data exists","Test 24h/7d/30d/custom","Correct points; acceptable load time","Partial","","Not Run","","","Last-12h view present; broader range controls limited"
"Telemetry","TEL-007","Data API failure handling","P0","S1","N/A","Simulate network/API failure","Graceful error state; retry path; no infinite spinner","Implemented","","Not Run","","",""
"ML Anomaly","ML-001","Anomaly list loads and paginates","P1","S2","Anomaly data exists","Open Anomalies; paginate/scroll","Stable sort; no duplicates; acceptable performance","Partial","","Not Run","","","List loads; formal pagination controls not evident"
"ML Anomaly","ML-002","Anomaly details show explanation","P0","S1","Anomaly exists","Open anomaly details","Type, asset, time, confidence, baseline vs actual, recommendation shown","Partial","","Not Run","","","Key fields shown; full explainability limited"
"ML Anomaly","ML-003","Acknowledge / dismiss anomaly","P0","S1","Anomaly exists","Mark anomaly acknowledged/dismissed with reason","Status updated with user+timestamp; filter reflects","Not Implemented","","Not Run","","","No ack/dismiss workflow"
"ML Anomaly","ML-004","Create maintenance ticket from anomaly","P0","S1","Anomaly exists","Create ticket from anomaly","Ticket created with anomaly linkage and priority","Not Implemented","","Not Run","","","No ticket module"
"ML Anomaly","ML-005","Sensitivity/threshold settings","P1","S2","Settings available","Adjust threshold; run detection","Saved scope; future anomaly behavior changes; audit logged","Partial","","Not Run","","","Backend supports params; no full settings UX"
"ML Anomaly","ML-006","False positive feedback loop","P2","S3","Feedback workflow exists","Mark anomaly false positive","Feedback stored and traceable","Not Implemented","","Not Run","","",""
"Drone Missions","DRONE-001","Create mission (happy path)","P0","S1","User with mission-create permission","Missions; Create; select site/panel; Save","Mission created; unique ID; appears in list","Implemented","","Not Run","","",""
"Drone Missions","DRONE-002","Validate geo-fence / boundary constraints","P1","S2","Geospatial planner exists","Enter invalid polygon/coordinates","Save blocked with clear validation","Not Implemented","","Not Run","","","No geofence/waypoint planner"
"Drone Missions","DRONE-003","Assign mission to drone team","P1","S2","Assignment workflow exists","Assign team members; schedule mission","Assignment persisted; notifications sent","Not Implemented","","Not Run","","",""
"Drone Missions","DRONE-004","Mission status transitions","P0","S1","Mission exists","Planned/Pending -> In Progress -> Completed","Only valid transitions allowed; timestamps stored","Implemented","","Not Run","","",""
"Drone Missions","DRONE-005","Duplicate mission prevention / warning","P2","S3","N/A","Create same mission twice","System warns/prevents duplicate per rules","Not Implemented","","Not Run","","",""
"Image Upload","IMG-001","Upload images to a mission","P0","S1","Mission exists in allowed status","Open mission; select batch; upload","Upload completes; progress visible; gallery updated","Implemented","","Not Run","","",""
"Image Upload","IMG-002","Large batch upload stability","P0","S1","Large image set prepared","Upload large batch","No crash; partial failures handled; retry/resume per design","Partial","","Not Run","","","Sequential upload; no resumable chunking"
"Image Upload","IMG-003","Unsupported file type handling","P1","S2","N/A","Attempt upload non-image file","Rejected with clear message","Partial","","Not Run","","","Client accept filter exists; strict server validation limited"
"Image Upload","IMG-004","Duplicate image handling","P2","S3","N/A","Upload same image twice","Deduplicate or clearly flag duplicate","Not Implemented","","Not Run","","",""
"Image Upload","IMG-005","Image viewer & metadata","P2","S3","Uploaded image exists","Open image viewer; check zoom/pan/metadata","Viewer smooth; metadata accurate; navigation preserved","Partial","","Not Run","","","Basic viewer present; metadata depth limited"
"CV Defect Detection","CV-001","Run/trigger CV analysis","P1","S2","Analyzable mission images exist","Run analysis manually or via upload trigger","Job status visible; completion notification; results stored","Implemented","","Not Run","","",""
"CV Defect Detection","CV-002","Defect results render correctly","P0","S1","Analyzed images exist","Open analyzed image","BBoxes align; labels and confidence displayed","Implemented","","Not Run","","",""
"CV Defect Detection","CV-003","Low-quality/blur image handling","P1","S2","Low-quality sample image","Upload and analyze blurred image","Low-confidence/quality flag shown; no misleading certainty","Partial","","Not Run","","","No explicit IQA module"
"CV Defect Detection","CV-004","Manual override: confirm/deny defect","P1","S2","Predicted defects exist","Confirm/deny defect; add notes","Override saved with actor/timestamp; raw result retained","Not Implemented","","Not Run","","",""
"CV Defect Detection","CV-005","Multiple defects in one image","P1","S2","Image with multiple defects","Open image results","All defects listed; per-defect interaction stable","Partial","","Not Run","","","List works; per-defect state controls limited"
"Maintenance","MNT-001","Create ticket manually","P0","S1","Maintenance module exists","Open Maintenance; create ticket; save","Ticket created with unique ID and Open status","Not Implemented","","Not Run","","",""
"Maintenance","MNT-002","Assign ticket to operator/team","P0","S1","Ticket exists","Assign owner; save","Owner updated and visible","Not Implemented","","Not Run","","",""
"Maintenance","MNT-003","Ticket lifecycle","P0","S1","Ticket exists","Open -> In Progress -> Resolved -> Closed","Required fields enforced; timestamps captured","Not Implemented","","Not Run","","",""
"Maintenance","MNT-004","Link ticket to asset + anomaly + mission","P1","S2","Ticket/anomaly/mission exist","Attach related items","Bidirectional links visible","Not Implemented","","Not Run","","",""
"Maintenance","MNT-005","SLA/priority rules","P1","S2","SLA policy configured","Create critical ticket","Due date/SLA computed correctly; escalation rules apply","Not Implemented","","Not Run","","",""
"Maintenance","MNT-006","Comments and audit trail","P1","S2","Ticket exists","Add comments; review history","Immutable/traceable audit with actor+time","Not Implemented","","Not Run","","",""
"Search & Reporting","SRCH-001","Global search relevance","P1","S2","Data exists across modules","Search by asset/ticket/mission/anomaly identifiers","Relevant results returned; permissions respected","Not Implemented","","Not Run","","","No unified global search module"
"Search & Reporting","SRCH-002","Filters persist across navigation","P2","S3","N/A","Apply filters; navigate detail/back","Filter state persisted or reset per spec consistently","Partial","","Not Run","","","Varies by page/component state"
"Search & Reporting","RPT-001","Export reports (CSV/PDF)","P1","S2","Reporting module exists","Export anomalies/tickets/missions","Correct scoped report output","Not Implemented","","Not Run","","",""
"Notifications","NOTIF-001","Critical anomaly notification","P1","S2","Critical anomaly exists","Trigger critical anomaly event","Correct recipients notified with useful payload","Partial","","Not Run","","","Toast notifications exist; full channel system unclear"
